post_id,title,category,score,num_comments,author,collected_at
49507072,How an MIT research project became a global programming language,science,6,0,theanonymousone,2026-09-01 20:02:02.225131
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,228,58,elyosh,2026-09-01 20:02:23.674595
49505062,"SolarWindow launches 0.85 mm-thick, self-adhesive solar film",entertainment,32,21,thelastgallon,2026-09-01 20:02:35.147769
49516583,OpenAI to Cut Off AI Models for SpaceX-Owned Cursor,science,5,2,m463,2026-09-01 20:02:42.543729
49519431,Trump Mocks Data-Center Opponents as Wanting to Stay 'Backwards and Poor',worldnews,7,5,dkobia,2026-09-01 20:03:12.031693
49507484,Russian strikes destroy 12M books ahead of Ukraine's first week back at school,entertainment,15,0,robrain,2026-09-01 20:03:30.196302
49444232,Harvest (IBM 7950): Supercomputer for cryptanalysis at the NSA in the Cold War,worldnews,101,25,jnord,2026-09-01 20:03:48.079104
49499924,12TB Steam leak reveals unseen Half-Life 2: Episode 3 builds,sports,37,10,sbulaev,2026-09-01 20:04:15.800872
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,320,190,400thecat,2026-09-01 20:04:32.021999
49445252,Disrupting a new covert influence campaign from Russia,sports,98,66,sam_lowry_,2026-09-01 20:04:47.083712
49514285,SpaceX designed an orbital Vera Rubin. Radiation comes next,science,8,1,CrankyBear,2026-09-01 20:04:54.234653
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,81,102,bilsbie,2026-09-01 20:05:01.635490
